[2019/11/01-00:00:00.340] [info] [exa.bee.BeeJob 6] [legacy]	Rotating additional logs
[2019/11/01-03:00:00.586] [info] [exa.bee.BeeJob 8] [GLcomponent.suggest]	0: build starting
[2019/11/01-03:00:03.610] [info] [exa.bee.BeeJob 8] [GLcomponent.suggest]	0: Suggest OnPremise_securedSuggest_ds6w_58_label successfully built
[2019/11/04-10:26:41] Setting buddy size to 19
[2019/11/04-10:26:41] Setting object allocator size to 19
[2019/11/04-10:26:41.656] [info] [main] [bee]	----------------------------------------------------------
[2019/11/04-10:26:41.657] [info] [main] [bee]	Process 10707 starting on mpllnx4032.mpl.michelin.com (10.216.104.82) as user dpmugbl0 with version V6R2019x.R2.99035
[2019/11/04-10:26:41.657] [info] [main] [bee]	 [args: exa --key processName master --key hostname mpllnx4032.mpl.michelin.com --key installName cvdefault --key id 321308616 --ppid 10654 --configuration config:///version.xml --configuration config:///mercury.xml ; directory: /busdata/dpmu/gbl0/data/cv/run/master ; architecture: amd64-linux ; kernel: "Linux version 3.10.0-1062.4.1.el7.x86_64 (mockbuild@x86-vm-27.build.eng.bos.redhat.com) (gcc version 4.8.5 20150623 (Red Hat 4.8.5-39) (GCC) ) #1 SMP Wed Sep 25 09:42:57 EDT 2019"]
[2019/11/04-10:26:41.747] [info] [main] [bee.log4e]	Reconfiguring Log4E
[2019/11/04-10:26:41.747] [info] [main] [legacy]	l4e: set logdir to /busdata/dpmu/gbl0/data/cv/run/master
[2019/11/04-10:26:41.754] [info] [main] [globallog.server]	Initializing log entries FS store
[2019/11/04-10:26:41.899] [info] [main] [bee.directory]	Starting on config version 22
[2019/11/04-10:26:41.899] [info] [main] [bee.directory]	no schemas to load
[2019/11/04-10:26:41.900] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.dictionary.helper.DictionaryServiceFLISHelper)
[2019/11/04-10:26:41.903] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.analysis.helper.AnalyzerTesterServiceFLISHelper)
[2019/11/04-10:26:41.903] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.index.helper.IndexBuilderServiceFLISHelper)
[2019/11/04-10:26:41.903] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.index.helper.BuildGroupManagerServiceFLISHelper)
[2019/11/04-10:26:41.904] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.dictionary.build.helper.DictionaryBuilderServiceFLISHelper)
[2019/11/04-10:26:41.904] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.realtime.helper.RealTimeAlertingMatchingServiceFLISHelper)
[2019/11/04-10:26:41.907] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.consolidation.helper.ConsolidationServerFLISHelper)
[2019/11/04-10:26:41.909] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.reporting.helper.SQLiteConfiguredServerFLISHelper)
[2019/11/04-10:26:41.909] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.realtime.helper.RealTimeAlertingHandlerServiceFLISHelper)
[2019/11/04-10:26:41.915] [info] [main] [legacy]	Mounting Java-only FLIS service (no Exa helper class: com.exalead.cloudview.indexing.index.helper.IndexClientServiceFLISHelper)
[2019/11/04-10:26:41.917] [info] [main] [bee.directory]	Starting service /directory
[2019/11/04-10:26:41.917] [info] [main] [bee.directory]	Starting service /mami/deploy
[2019/11/04-10:26:41.917] [info] [main] [bee.directory]	Starting service /mami/crawl
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service /mami/fetch
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service exascript
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service profiler
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service dynamicData
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service /log4e/mpllnx4032.mpl.michelin.com-cvdefault/master
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service /beegistry/mpllnx4032.mpl.michelin.com-cvdefault/master
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting service /GL
[2019/11/04-10:26:41.918] [info] [main] [bee.directory]	Starting server hosting services
[2019/11/04-10:26:41.918] [info] [main] [bee.server]	Start server on http://0.0.0.0:16004 (local pool=true - backlog= 1500)
[2019/11/04-10:26:41.925] [info] [main] [bee.directory]	Services started
