[2019/10/09-00:00:00.008] [info] [1506304687@jtp-default-0] [exa.log.rotation]	Rotating additional logs
[2019/10/09-08:58:51.298] [info] [1270478804@jtp-default-1] [bee.runtime]	Exiting on StopRuntime request
[2019/10/09-08:58:51.301] [info] [shutdown-1251] [jaxb]	JAXB cache contains :sun.misc.Launcher$AppClassLoader@764c12b6__com.exalead.mercury.mami.resources.v10 (creation=734ms, hits=1)
[2019/10/09-08:58:51.301] [info] [shutdown-1251] [jaxb]	JAXB cache contains :SGLoader@null__exa.bee (creation=263ms, hits=1440)
[2019/10/09-08:58:52.303] [info] [shutdown-1251] [bee.directory]	Stopping server 'default': HTTP server
[2019/10/09-08:58:52.327] [info] [shutdown-1251] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16023@5649f55{HTTP/1.1,[http/1.1]}{0.0.0.0:16023}
[2019/10/09-08:58:52.329] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@11582db6{/,resource:/exa/bee/net/http2/htdocs,UNAVAILABLE}
[2019/10/09-08:58:52.331] [info] [shutdown-1251] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.337] [info] [shutdown-1251] [bee.directory]	Stopping server 'default': service 'services.dictionary.ss0'
[2019/10/09-08:58:52.368] [info] [shutdown-1251] [bee.directory]	Stopping server 'boxproxy': HTTP server
[2019/10/09-08:58:52.370] [info] [shutdown-1251] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16027@7ef60c02{HTTP/1.1,[http/1.1]}{0.0.0.0:16027}
[2019/10/09-08:58:52.370] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@1626bddf{/,resource:/exa/bee/net/http2/htdocs,UNAVAILABLE}
[2019/10/09-08:58:52.371] [info] [shutdown-1251] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.372] [info] [shutdown-1251] [bee.directory]	Stopping server 'searchui': HTTP server
[2019/10/09-08:58:52.376] [info] [shutdown-1251] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16000@6a9df5{HTTP/1.1,[http/1.1]}{0.0.0.0:16000}
[2019/10/09-08:58:52.376] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler.mashup_ui]	Destroying Spring FrameworkServlet '360-search-ui'
[2019/10/09-08:58:52.381] [info] [shutdown-1251] [org.apache.tiles.access.TilesAccess]	Removing TilesContext for context: org.springframework.web.servlet.view.tiles3.SpringWildcardServletTilesApplicationContext
[2019/10/09-08:58:52.382] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler.mashup_ui]	Closing Spring root WebApplicationContext
[2019/10/09-08:58:52.386] [info] [shutdown-1251] [com.exalead.cv360.searchui.services.UserLicenseManager]	Stopping UsersChecking Thread for instance name: mu0
[2019/10/09-08:58:52.386] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.w.WebAppContext@5ec4ff02{/mashup-ui,null,UNAVAILABLE,@16000}{/360-mashup-ui}
[2019/10/09-08:58:52.387] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@336206d8{/,resource:/exa/bee/net/http2/htdocs,UNAVAILABLE}
[2019/10/09-08:58:52.390] [info] [shutdown-1251] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.491] [info] [shutdown-1251] [bee.directory]	Stopping server 'searchapi': HTTP server
[2019/10/09-08:58:52.492] [info] [shutdown-1251] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16010@65c33b92{HTTP/1.1,[http/1.1]}{0.0.0.0:16010}
[2019/10/09-08:58:52.494] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.w.WebAppContext@43f82e78{/storage-service,null,UNAVAILABLE,@16010}{/busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/webapps-tmp/searchserver-ss0/searchapi_16010/storage-service}
[2019/10/09-08:58:52.495] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.w.WebAppContext@32f232a5{/access,null,UNAVAILABLE,@16010}{/busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/webapps-tmp/searchserver-ss0/searchapi_16010/access}
[2019/10/09-08:58:52.495] [info] [shutdown-1251] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@2a448449{/,null,UNAVAILABLE}
[2019/10/09-08:58:52.495] [info] [shutdown-1251] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.597] [info] [shutdown-1251] [bee.directory]	Stopping server 'searchapi': service 'search-api'
[2019/10/09-08:58:52.597] [info] [shutdown-1251] [search.api]	Shutting down commands
