[2019/10/09-00:00:00.015] [info] [1060519157@jtp-default-0] [exa.log.rotation]	Rotating additional logs
[2019/10/09-08:58:51.298] [info] [58890945@jtp-default-1] [bee.runtime]	Exiting on StopRuntime request
[2019/10/09-08:58:51.300] [info] [shutdown-5015] [jaxb]	JAXB cache contains :SGLoader@null__com.exalead.mercury.mami.resources.v10 (creation=29ms, hits=1918)
[2019/10/09-08:58:51.300] [info] [shutdown-5015] [jaxb]	JAXB cache contains :sun.misc.Launcher$AppClassLoader@764c12b6__com.exalead.mercury.mami.resources.v10 (creation=822ms, hits=3)
[2019/10/09-08:58:51.300] [info] [shutdown-5015] [jaxb]	JAXB cache contains :SGLoader@null__exa.bee (creation=236ms, hits=481)
[2019/10/09-08:58:51.300] [info] [shutdown-5015] [jaxb]	JAXB cache contains :sun.misc.Launcher$AppClassLoader@764c12b6__com.exalead.mercury.mami.master.v10 (creation=611ms, hits=640)
[2019/10/09-08:58:52.301] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': HTTP server
[2019/10/09-08:58:52.311] [info] [shutdown-5015] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16013@269f4bad{HTTP/1.1,[http/1.1]}{0.0.0.0:16013}
[2019/10/09-08:58:52.313] [info] [shutdown-5015] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@44828f6b{/,resource:/exa/bee/net/http2/htdocs,UNAVAILABLE}
[2019/10/09-08:58:52.317] [info] [shutdown-5015] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.326] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': service 'services.rta-matching-sxibg0'
[2019/10/09-08:58:52.326] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': service 'suggestmanager'
[2019/10/09-08:58:52.326] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': service 'services.dictionary.builder'
[2019/10/09-08:58:52.328] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': service 'services.analyzer-tester-sxibg0'
[2019/10/09-08:58:52.328] [info] [shutdown-5015] [analysis.test]	Stopped analyzer tester service - /analyzer-tester-sxibg0
[2019/10/09-08:58:52.328] [info] [shutdown-5015] [bee.directory]	Stopping server 'default': service 'services.indexingserver.sxibg0'
[2019/10/09-08:58:52.344] [info] [ReplicaControlThread 0/sxii0] [replication.manager]	slice 0: inst sxii0: instance was stopped
[2019/10/09-08:58:52.344] [info] [shutdown-5015] [bee.directory]	Stopping server 'resourceshare_slave': service 'resourceshare'
[2019/10/09-08:58:52.344] [info] [shutdown-5015] [bee.directory]	Stopping server 'resourceshare': HTTP server
[2019/10/09-08:58:52.348] [info] [shutdown-5015] [org.eclipse.jetty.server.AbstractConnector]	Stopped 16014@197b7822{HTTP/1.1,[http/1.1]}{0.0.0.0:16014}
[2019/10/09-08:58:52.348] [info] [shutdown-5015] [org.eclipse.jetty.server.handler.ContextHandler]	Stopped o.e.j.s.ServletContextHandler@4d5b6aac{/,null,UNAVAILABLE}
[2019/10/09-08:58:52.348] [info] [shutdown-5015] [org.eclipse.jetty.server.session]	node0 Stopped scavenging
[2019/10/09-08:58:52.455] [info] [shutdown-5015] [bee.directory]	Stopping server 'resourceshare': service 'resourceshareservice'
[2019/10/09-08:58:52.455] [info] [shutdown-5015] [bee.directory]	Directory stopped
[2019/10/09-08:58:52.455] [info] [shutdown-5015] [bee]	Runtime stopped
[2019/10/09-08:58:52.455] [fatal] [shutdown-5015] [bee]	Exiting process
Exiting process now (Queen.java)
[2019/10/09-09:08:02.568] [info] [main] [exa.log]	Setting master level info
**********************************************************
[2019/10/09-09:08:02.574] [info] [main] [bee]	Process 24291 starting on mpllnx4032.mpl.michelin.com (mpllnx4032.mpl.michelin.com/10.216.104.82) as user dpmugbl0 with version V6R2019x.R2.99035
[2019/10/09-09:08:02.574] [info] [main] [bee]	 [args: java --key processName indexingserver-sxibg0 --key hostname mpllnx4032.mpl.michelin.com --key installName cvdefault --key id 247016361 --ppid 24245 --configuration config:///version.xml --configuration config:///mercury.xml --key logToRunDir true ; directory: /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/data/run/indexingserver-sxibg0 ; architecture: amd64-linux ; kernel: "Linux version 3.10.0-1062.1.2.el7.x86_64 (mockbuild@x86-vm-27.build.eng.bos.redhat.com) (gcc version 4.8.5 20150623 (Red Hat 4.8.5-39) (GCC) ) #1 SMP Mon Sep 16 14:19:51 EDT 2019"]
[2019/10/09-09:08:02.650] [info] [main] [bee]	Loading root config file: config:///version.xml
[2019/10/09-09:08:02.681] [info] [main] [bee]	Loading root config file: config:///mercury.xml
Updating logging configuration
[2019/10/09-09:08:03.965] [info] [main] [exa.log]	Setting master level info
**********************************************************
[2019/10/09-09:08:03.966] [info] [main] [bee.directory]	Directory updated, reloading
[2019/10/09-09:08:03.967] [info] [main] [directory]	Loading directory
[2019/10/09-09:08:04.333] [info] [main] [bee.directory]	Directory loaded
[2019/10/09-09:08:04.333] [info] [main] [bee]	Configuration loaded, starting runtime
[2019/10/09-09:08:04.333] [info] [main] [directory]	Loading directory
[2019/10/09-09:08:04.382] [info] [main] [bee.directory]	Directory loaded
[2019/10/09-09:08:04.505] [info] [main] [org.eclipse.jetty.util.log]	Logging initialized @3739ms to org.eclipse.jetty.util.log.Slf4jLog
[2019/10/09-09:08:04.540] [info] [main] [bee.directory]	Configuring server 'resourceshare'
[2019/10/09-09:08:05.052] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.ds.share2.http.ShareFLIS' on '/*'
[2019/10/09-09:08:05.134] [info] [main] [bee.directory]	Configuring server 'default'
[2019/10/09-09:08:05.138] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.cloudview.indexing.IndexingServer' on '/indexingserver/sxibg0/*'
[2019/10/09-09:08:05.139] [info] [main] [bee.directory]	Mounting FLIS servlet 'com.exalead.cloudview.indexing.analysis.AnalyzerTesterService' on '/analyzer-tester-sxibg0/*'
[2019/10/09-09:08:05.141] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.cloudview.indexing.index.IndexBuilderService' on '/index6builder/sxibg0/0/*'
[2019/10/09-09:08:05.141] [info] [main] [bee.directory]	Mounting FLIS servlet 'com.exalead.cloudview.indexing.index.BuildGroupManagerService' on '/index6/buildgroupmanager/sxibg0/*'
[2019/10/09-09:08:05.170] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.dictionary.build.DictionaryBuilderService' on '/dictionary/builder/*'
[2019/10/09-09:08:05.170] [info] [main] [bee.directory]	Mounting Bee servlet 'com.exalead.search.suggest.SuggestManager' on '/suggestmanager/*'
[2019/10/09-09:08:05.182] [info] [main] [bee.directory]	Mounting FLIS servlet 'com.exalead.cloudview.indexing.realtime.RealTimeAlertingMatchingService' on '/rta-matching-sxibg0/*'
[2019/10/09-09:08:05.183] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.bee.JavaRuntimeServlet' on '/java/*'
[2019/10/09-09:08:05.183] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.bee.services.ProfilingServlet' on '/profiler/*'
[2019/10/09-09:08:05.183] [info] [main] [bee.directory]	Mounting servlet 'com.exalead.bee.services.IsAliveServlet' on '/isAlive/*'
[2019/10/09-09:08:05.184] [info] [main] [bee.directory]	Mounting Bee servlet 'com.exalead.bee.services.Log4EService' on '/log4e/mpllnx4032.mpl.michelin.com-cvdefault/indexingserver-sxibg0/*'
[2019/10/09-09:08:05.189] [info] [main] [bee.directory]	Mounting Bee servlet 'com.exalead.bee.services.BeegistryUpdater' on '/beegistry/mpllnx4032.mpl.michelin.com-cvdefault/indexingserver-sxibg0/*'
[2019/10/09-09:08:05.191] [info] [main] [bee.directory]	Configuring homepage
[2019/10/09-09:08:05.367] [info] [main] [bee.directory]	Starting server 'resourceshare': service 'resourceshareservice'
[2019/10/09-09:08:05.369] [info] [main] [bee.directory]	Starting server 'resourceshare': HTTP server on port 16014
[ShutdownMonitor] Not enabled (port < 0): -1
[2019/10/09-09:08:05.370] [info] [main] [org.eclipse.jetty.server.Server]	jetty-9.4.10.v20180503; built: 2018-05-03T15:56:21.710Z; git: daa59876e6f384329b122929e70a80934569428c; jvm 1.8.0_201-b09
[2019/10/09-09:08:05.640] [info] [main] [org.eclipse.jetty.server.session]	DefaultSessionIdManager workerName=node0
[2019/10/09-09:08:05.640] [info] [main] [org.eclipse.jetty.server.session]	No SessionScavenger set, using defaults
[2019/10/09-09:08:05.642] [info] [main] [org.eclipse.jetty.server.session]	node0 Scavenging every 600000ms
[2019/10/09-09:08:05.721] [warn] [main] [org.eclipse.jetty.security.SecurityHandler]	ServletContext@o.e.j.s.ServletContextHandler@22e357dc{/,null,STARTING} has uncovered http methods for path: /
[2019/10/09-09:08:05.797] [info] [main] [org.eclipse.jetty.server.handler.ContextHandler]	Started o.e.j.s.ServletContextHandler@22e357dc{/,null,AVAILABLE}
[2019/10/09-09:08:05.853] [info] [main] [org.eclipse.jetty.server.AbstractConnector]	Started 16014@5acf93bb{HTTP/1.1,[http/1.1]}{0.0.0.0:16014}
[2019/10/09-09:08:05.853] [info] [main] [org.eclipse.jetty.server.Server]	Started @5088ms
[2019/10/09-09:08:05.853] [info] [main] [bee.directory]	Starting server 'resourceshare_slave': service 'resourceshare'
[2019/10/09-09:08:05.853] [info] [main] [resourceshare]	Starting ResourceShare
[2019/10/09-09:08:05.947] [info] [main] [resourceshare]	Check update of group  plugins at serial 1570546782876
[2019/10/09-09:08:05.947] [info] [main] [resourceshare]	Syncing groups
[2019/10/09-09:08:06.129] [info] [main] [resourceshare]	Master is not yet up on http://mpllnx4032.mpl.michelin.com:16007/resourcemanager (Connection refused (Connection refused)), waiting ...
[2019/10/09-09:08:07.130] [info] [main] [resourceshare]	Master is not yet up on http://mpllnx4032.mpl.michelin.com:16007/resourcemanager (Connection refused (Connection refused)), waiting ...
[2019/10/09-09:08:08.132] [info] [main] [resourceshare]	Master is not yet up on http://mpllnx4032.mpl.michelin.com:16007/resourcemanager (Connection refused (Connection refused)), waiting ...
[2019/10/09-09:08:09.133] [info] [main] [resourceshare]	Master is not yet up on http://mpllnx4032.mpl.michelin.com:16007/resourcemanager (Connection refused (Connection refused)), waiting ...
